DATE,SYMBOL,SERIES,LAST_PRICE,LOWER_BAND,UPPER_BAND,BAND_PCT,BAND_LABEL,ASM_CODE,ASM_TYPE,ASM_STAGE,ASM_LABEL
2026-05-17,QUALITY30,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,QUESS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,QUICKHEAL,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,QUINT,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RACLGEAR,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RADAAN,EQ,0,0,0,20,20%,21,LTASM,I,LTASM-I
2026-05-17,RADHIKAJWE,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RADIANTCMS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RADICO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAILTEL,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAIN,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,RAINBOW,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAJINDLTD,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RAJOOENG,EQ,0,0,0,20,20%,11,STASM,I,STASM-I
2026-05-17,RAJPALAYAM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAJPUTANA,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RAJRATAN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAJSREESUG,EQ,0,0,0,20,20%,21,LTASM,I,LTASM-I
2026-05-17,RALLIS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAMANEWS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAMAPHO,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAMCOCEM,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAMCOIND,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAMCOSYS,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAMKY,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAMRAT,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RANASUG,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RANEHOLDIN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAPIDFLEET,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RAPPID,SM,0,0,0,20,20%,0,NONE,,
2026-05-17,RATEGAIN,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RATNAMANI,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RATNAVEER,EQ,0,0,0,20,20%,0,NONE,,
2026-05-17,RAYMOND,EQ,0,0,0,20,20%,0,NONE,,
