DATE,SYMBOL,COMPANY_NAME,ISIN,TYPE,STAGE,STAGE_CODE,LABEL,AS_OF_DATE,CIRC_REVISION
2026-05-15,KDL,"Kore Digital Limited",INE0O4R01018,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,KONTOR,"Kontor Space Limited",INE0KZ301010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,KORE,"Jay Jalaram Technologies Limited",INE0J6801010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,KRIDHANINF,"Kridhan Infra Limited",INE524L01026,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,LOVABLE,"Lovable Lingerie Limited",INE597L01014,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,MANAKALUCO,"Manaksia Aluminium Company Limited",INE859Q01017,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,MARINE,"Marine Electricals (India) Limited",INE01JE01028,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,MEGATHERM,"Megatherm Induction Limited",INE531R01010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,MERCANTILE,"Mercantile Ventures Limited",INE689O01013,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,MICEL,"MIC Electronics Limited",INE287C01037,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,MIRCELECTR,"MIRC Electronics Limited",INE831A01028,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,MITCON,"MITCON Consultancy & Engineering Services Limited",INE828O01033,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,MMWL,"Media Matrix Worldwide Limited",INE200D01020,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,NAGREEKEXP,"Nagreeka Exports Limited",INE123B01028,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,NDL,"Nandan Denim Limited",INE875G01048,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,NEOGEN,"Neogen Chemicals Limited",INE136S01016,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,NIMBSPROJ,"Nimbus Projects Limited",INE875B01015,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,NITTAGELA,"Nitta Gelatin India Limited",INE265B01019,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,NOVAAGRI,"Nova Agritech Limited",INE02H701025,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,OWAIS,"Owais Metal And Mineral Processing Limited",INE0R8M01017,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,PARACABLES,"Paramount Communications Limited",INE074B01023,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,PARAGON,"Paragon Fine and Speciality Chemical Limited",INE0N4G01012,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,PARAMOUNT,"Paramount Dye Tec Limited",INE0TG801013,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,PML,"Paul Merchants Limited",INE291E01019,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,PRAVEG,"Praveg Limited",INE722B01019,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,PURPLEUTED,"Purple United Sales Limited",INE0P5R01014,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,QUICKHEAL,"Quick Heal Technologies Limited",INE306L01010,STASM,I,11,STASM-I,15-May-2026,11
