symbol,isin,type,stage,stageCode
PRECWIRE,INE372C01037,LTASM,I,21
TERASOFT,INE482B01010,LTASM,I,21
NOVAAGRI,INE02H701025,STASM,I,11
SASKEN,INE231F01020,STASM,I,11
EXICOM,INE777F01014,STASM,I,11
BFUTILITIE,INE243D01012,STASM,I,11
MUKTAARTS,INE374B01019,LTASM,I,21
MAHASTEEL,INE451L01014,LTASM,IV,24
BAWEJA,INE0JFJ01011,STASM,I,11
DEVX,INE0VOV01021,LTASM,I,21
VISHWAS,INE0S2E01016,STASM,I,11
FSL,INE684F01012,STASM,I,11
ABCOTS,INE08PH01015,STASM,I,11
BHARATWIRE,INE316L01019,STASM,I,11
MANAKALUCO,INE859Q01017,STASM,I,11
NEPHROCARE,INE0SUN01013,LTASM,I,21
CONFIPET,INE552D01024,LTASM,I,21
63MOONS,INE111B01023,STASM,I,11
MERCANTILE,INE689O01013,STASM,I,11
HGM,INE596H01014,LTASM,I,21
SMARTLINK,INE178C01020,STASM,I,11
JTLIND,INE391J01032,STASM,I,11
FALCONTECH,INE0PQK01013,LTASM,I,21
ESSENTIA,INE418N01035,LTASM,I,21
BIRLAMONEY,INE865C01022,STASM,I,11
AVALON,INE0LCL01028,STASM,I,11
JEYYAM,INE0RXB01022,STASM,I,11
AKSHARCHEM,INE542B01011,LTASM,I,21
GODREJIND,INE233A01035,STASM,I,11
WEL,INE02WG01024,STASM,II,12
MOHITIND,INE954E01012,LTASM,I,21
AKSHAR,INE256Z01025,LTASM,I,21
SIGMAADV,INE933B01012,LTASM,IV,24
ALPA,INE385I01010,STASM,I,11
ARISTO,INE082101010,STASM,I,11
PARACABLES,INE074B01023,STASM,I,11
AURIGROW,INE925Y01036,STASM,I,11
MEDICAMEQ,INE646B01010,LTASM,I,21
MICEL,INE287C01037,STASM,I,11
EMBDL,INE069I01010,STASM,I,11
RUPA,INE895B01021,STASM,I,11
SYNOPTICS,INE0BTR01012,STASM,I,11
AUROIMPEX,INE0NUL01018,STASM,I,11
NDL,INE875G01048,STASM,I,11
VENUSREM,INE411B01019,LTASM,I,21
NITTAGELA,INE265B01019,STASM,I,11
AIRAN,INE645W01026,LTASM,I,21
BALAJEE,INE0S2G01011,STASM,I,11
WALCHANNAG,INE711A01022,STASM,I,11
HOACFOODS,INE0S6S01017,LTASM,I,21
IBULLSLTD,INE126M01010,LTASM,I,21
NAGREEKEXP,INE123B01028,STASM,I,11
SAIFL,INE0PZA01015,STASM,I,11
RAMASTEEL,INE230R01035,LTASM,I,21
STLTECH,INE089C01029,LTASM,IV,24
KHADIM,INE834I01025,LTASM,I,21
MTARTECH,INE864I01014,LTASM,I,21
LAL,INE740X01023,LTASM,I,21
TAC,INE0SOY01013,LTASM,I,21
BHAGCHEM,INE414D01027,STASM,I,11
ORIENTBELL,INE607D01018,LTASM,I,21
FRONTSP,INE572D01014,STASM,I,11
UNIMECH,INE0U3I01011,STASM,I,11
ADDICTIVE,INE0RDH01021,STASM,I,11
STERTOOLS,INE334A01023,STASM,I,11
UTLSOLAR,INE12UR01024,STASM,I,11
SHEEL,INE0YJV01017,LTASM,I,21
SUNFLAG,INE947A01014,LTASM,I,21
ELECTHERM,INE822G01016,STASM,I,11
HOLMARC,INE0LXA01019,STASM,I,11
THAKDEV,INE403F01017,STASM,I,11
ZENITHSTL,INE318D01020,STASM,I,11
PIONEEREMB,INE156C01018,LTASM,I,21
VAKRANGEE,INE051B01021,STASM,I,11
KANANIIND,INE879E01037,STASM,I,11
COHANCE,INE03QK01018,LTASM,I,21
COUNCODOS,INE695B01025,LTASM,I,21
TRU,INE615R01029,LTASM,I,21
LGHL,INE258Y01016,LTASM,I,21
SPEB,INE1CW901027,STASM,I,11
